"Freq [GHz]","mag(St(feedline_T1,feedline_T1)) []","mag(St(feedline_T2,feedline_T1)) []"
1.468,0.071208884354898,0.984065441925871
1.47,0.0694816298048875,0.984171495322219
1.472,0.0677510159296003,0.984274774408055
1.474,0.0660171099744746,0.984375256471995
1.476,0.0642799839198858,0.984472918887957
1.478,0.0625397151420423,0.984567739115478
1.48,0.0607963871914608,0.984659694699875
1.482,0.059050090713928,0.984748763272252
1.484,0.0573009245450039,0.984834922549342
1.486,0.0555489970170865,0.984918150333159
1.488,0.0537944275283311,0.984998424510478
1.49,0.0520373484361514,0.985075723052111
1.492,0.0502779073556952,0.985150024011968
1.494,0.0485162699671084,0.98522130552591
1.496,0.0467526234667351,0.98528954581035
1.498,0.0449871808397407,0.985354723160619
1.5,0.0432201861893197,0.985416815949068
1.502,0.0414519214371882,0.985475802622886
1.504,0.0396827148208174,0.985531661701626
1.506,0.0379129517690307,0.985584371774421
1.508,0.0361430889604998,0.985633911496866
1.51,0.0343736726921384,0.985680259587547
1.512,0.0326053631575253,0.985723394824203
1.514,0.0308389669402358,0.985763296039483
1.516,0.0290754810935139,0.98579994211629
1.518,0.0273161538192012,0.985833311982676
1.52,0.0255625693298664,0.985863384606257
1.522,0.0238167685783664,0.985890138988127
1.524,0.0220814241976717,0.985913554156231
1.526,0.0203600989950408,0.985933609158165
1.528,0.0186576357895501,0.985950283053362
1.53,0.0169807575795814,0.98596355490463
1.532,0.0153390095754525,0.98597340376899
1.534,0.0137462602322408,0.985979808687767
1.536,0.0122231032961503,0.985982748675899
1.538,0.0108006228599547,0.985982202710382
1.54,0.00952583296203737,0.985978149717817
1.542,0.00846772335514685,0.985970568560972
1.544,0.00771814144562281,0.985959438024315
1.546,0.0073740814747828,0.985944736798416
1.548,0.00749384406040074,0.985926443463153
1.55,0.00805882141907692,0.985904536469628
1.552,0.00898724739217015,0.985878994120701
1.554,0.0101817666866998,0.985849794550021
1.556,0.0115615886713064,0.985816915699464
1.558,0.0130693838059438,0.985780335294837
1.56,0.0146668302614565,0.985740030819708
1.562,0.0163286164662325,0.985695979487234
1.564,0.0180378530011362,0.985648158209802
1.566,0.0197830492284946,0.985596543566329
1.568,0.0215562102494742,0.985541111766999
1.57,0.0233516466468332,0.985481838615256
1.572,0.0251652222457645,0.985418699466791
1.574,0.026993870306875,0.985351669185293
1.576,0.0288352760470392,0.985280722094661
1.578,0.0306876639860149,0.985205831927383
1.58,0.0325496526419542,0.98512697176873
1.582,0.0344201533590701,0.985044113996399
1.584,0.0362982986173236,0.984957230215182
1.586,0.0381833904038187,0.984866291186203
1.588,0.0400748624755129,0.984771266750225
1.59,0.0419722523992552,0.984672125744448
1.592,0.0438751805798182,0.984568835912182
1.594,0.0457833343546249,0.984461363804707
1.596,0.0476964558121017,0.984349674674533
1.598,0.0496143323818145,0.984233732359214
1.6,0.051536789513136,0.984113499154745
1.60014285714286,0.0516742792177427,0.984104745846812
1.60028571428571,0.0518117915089837,0.984095970431729
1.60042857142857,0.0519493263415097,0.984087172894751
1.60057142857143,0.0520868836706768,0.984078353221087
1.60071428571429,0.0522244634525386,0.984069511395897
1.60085714285714,0.0523620656438405,0.984060647404291
1.601,0.0524996902020111,0.984051761231332
1.60114285714286,0.0526373370851566,0.984042852862032
1.60128571428571,0.0527750062520544,0.984033922281355
1.60142857142857,0.0529126976621461,0.984024969474212
