wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
300,12.195,0.1638683680322364,0.009402283411685695,1489,244,14,3.5442023277282715
800,12.196,0.11335311572700296,0.011275964391691394,1685,191,19,5.493652820587158
4800,12.195,0.003436426116838488,0.009163802978235968,1746,6,16,21.549339294433594
1100,12.193,0.10833840535605599,0.006695069993913573,1643,178,11,6.727764368057251
12000,12.193,0.000578368999421631,0.007518796992481203,1729,1,13,50.30447721481323
1200,12.195,0.08543331284572833,0.007375537799631223,1627,139,12,7.163917541503906
5000,12.197,0.0017172295363480253,0.009158557527189467,1747,3,16,22.29577374458313
1100,12.196,0.11461687057308435,0.004507405022537025,1553,178,7,6.742584466934204
4400,12.199,0.005861664712778429,0.004689331770222743,1706,10,8,19.944111585617065
2000,12.192,0.04829721362229102,0.006191950464396285,1615,78,10,10.278492450714111
1100,12.195,0.0922890103217972,0.004857316332726169,1647,152,8,6.794682502746582
50000,12.192,0.0,0.0077937649880095924,1668,0,13,202.27695035934448
900,12.193,0.09691358024691359,0.0049382716049382715,1620,157,8,5.936090707778931
20000,12.192,0.001671309192200557,0.004456824512534819,1795,3,8,82.24825668334961
500,12.193,0.13942011104256632,0.007402837754472548,1621,226,12,4.330190181732178
1400,12.195,0.06282722513089005,0.0075625363583478765,1719,108,13,7.989390134811401
200,12.197,0.1771986970684039,0.006514657980456026,1535,272,10,3.084287166595459
4800,12.201,0.0011689070718877848,0.008182349503214495,1711,2,14,21.570799827575684
7000,12.199,0.0018094089264173703,0.011459589867310011,1658,3,19,30.36484694480896
1100,12.188,0.08727272727272728,0.008484848484848486,1650,144,14,6.686103343963623
1800,12.184,0.04417910447761194,0.003582089552238806,1675,74,6,9.577182054519653
900,12.186,0.11204819277108434,0.007228915662650603,1660,186,12,5.9701056480407715
0,12.186,0.18477251624883936,0.0009285051067780873,1077,199,1,2.3130528926849365
200,12.189,0.1797676008202324,0.01367053998632946,1463,263,20,3.105574369430542
12000,12.19,0.0012040939193257074,0.008428657435279952,1661,2,14,50.25312376022339
1700,12.215,0.043670886075949364,0.007594936708860759,1580,69,12,9.138565301895142
1400,12.216,0.06047648136835675,0.010384850335980453,1637,99,17,7.960875988006592
1200,12.215,0.07111935683364255,0.0074211502782931356,1617,115,12,7.102072477340698
2400,12.218,0.024125452352231604,0.005428226779252111,1658,40,9,11.931427240371704
4400,12.224,0.0005896226415094339,0.00294811320754717,1696,1,5,19.975951194763184
1300,12.203,0.07235294117647059,0.005294117647058823,1700,123,9,7.506645441055298
2000,12.198,0.03787450537026569,0.007348784624081402,1769,67,13,10.340043067932129
300,12.203,0.1777205408886027,0.005795235028976175,1553,276,9,3.5518743991851807
700,12.198,0.13869537682077265,0.006966434452184927,1579,219,11,5.163732290267944
20000,12.201,0.0011702750146284377,0.004681100058513751,1709,2,8,82.26873135566711
400,12.194,0.16237623762376238,0.005940594059405941,1515,246,9,3.8876383304595947
1400,12.199,0.06455617628801986,0.011793916821849782,1611,104,19,7.944766521453857
4400,12.197,0.0073654390934844195,0.0050991501416430595,1765,13,9,20.00188398361206
1100,12.197,0.08809234507897934,0.004860267314702308,1646,145,8,6.743908882141113
0,12.194,0.15080113100848255,0.0,1061,160,0,2.346158742904663
2800,12.197,0.014794520547945205,0.004931506849315068,1825,27,9,13.540612697601318
100,12.198,0.1759493670886076,0.010759493670886076,1580,278,17,2.691037654876709
1700,12.199,0.04449648711943794,0.008782201405152224,1708,76,15,9.12824296951294
2800,12.198,0.012055109070034443,0.008036739380022962,1742,21,14,13.52449083328247
1700,12.197,0.03880764904386952,0.00843644544431946,1778,69,15,9.139522314071655
1900,12.197,0.03480278422273782,0.0075406032482598605,1724,60,13,9.908291101455688
50000,12.198,0.0016806722689075631,0.0061624649859943975,1785,3,11,202.2311282157898
4000,12.195,0.003988603988603989,0.010256410256410256,1755,7,18,18.316280126571655
1700,12.195,0.046473482777474026,0.008747949699289229,1829,85,16,9.141782760620117
4000,12.197,0.00395703787450537,0.010175240248728096,1769,7,18,18.34600019454956
1300,12.198,0.06246246246246246,0.010810810810810811,1665,104,18,7.481730937957764
1400,12.199,0.054285714285714284,0.006285714285714286,1750,95,11,7.942622661590576
300,12.198,0.15066828675577157,0.009113001215066828,1646,248,15,3.5560333728790283
35000,12.196,0.0,0.008422234699606962,1781,0,15,142.23766779899597
50000,12.202,0.0005701254275940707,0.00798175598631699,1754,1,14,202.22274589538574
700,12.199,0.12334801762114538,0.0062932662051604785,1589,196,10,5.086575269699097
2000,12.2,0.030852994555353903,0.004839685420447671,1653,51,8,10.393081426620483
12000,12.199,0.0005730659025787965,0.009742120343839542,1745,1,17,50.3379225730896
