Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
0.1984962406,0.1096491228,0.0523809524,5.3544656243306916e-05,0.0007496251874062968,18676,14,1,7.103266716003418
-0.159398496,-0.135087719,-0.003258145,0.047105232625594615,0.011718296786170089,17238,202,812,7.104959487915039
-0.004511278,-0.03245614,-0.001253133,0.050316957210776544,0.012621688929137424,17668,223,889,7.382794618606567
-0.303759398,-0.095614035,-0.097493734,0.006514872334824954,0.0013819426164780205,15196,21,99,6.394680500030518
-0.240601504,0.1228070175,-0.056892231,0.027356411253727474,0.0014909892389472319,15426,23,422,6.482408046722412
-0.064661654,-0.037719298,-0.062907268,0.030421420013543782,0.01244986195759754,19197,239,584,7.642280101776123
-0.258646617,-0.010526316,-0.079949875,0.017642948643298007,0.0022126470245720275,17174,38,303,6.856563091278076
0.154887218,0.0649122807,0.0293233083,0.0011740220929612039,0.002294679545333262,18739,43,22,7.139982461929321
0.0646616541,-0.056140351,-0.021804511,0.010109564388927116,0.007833589160006352,18893,148,191,7.31654953956604
0.1353383459,-0.144736842,0.0689223058,0.0,0.000313250495979952,19154,6,0,7.241335868835449
0.1684210526,0.1333333333,-0.059398496,0.0,0.0005007260527765259,19971,10,0,7.5213623046875
0.1052631579,0.0868421053,0.0558897243,0.0077198072638723384,0.00885964457800114,19301,171,149,7.415858507156372
-0.139849624,0.0280701754,-0.051879699,0.04034411153960249,0.005438544447740532,20226,110,816,7.862654209136963
0.1578947368,-0.107894737,-0.088972431,0.0,0.0005697120364615703,19308,11,0,7.419976711273193
-0.066165414,-0.029824561,0.0814536341,0.03825808175260486,0.015121560245792144,18715,283,716,7.673824310302734
-0.216541353,-0.043859649,0.0388471178,0.0726541876649868,0.0064794816414686825,16668,108,1211,7.0945634841918945
-0.115789474,-0.018421053,-0.072932331,0.02545494529660784,0.00632250261146847,18189,115,463,7.107251405715942
-0.296240602,0.1219298246,0.0398496241,0.04422236102435977,0.0012492192379762648,16010,20,708,6.768267631530762
-0.085714286,0.0701754386,-0.062406015,0.04345205479452055,0.01167123287671233,18250,213,793,7.41838812828064
-0.207518797,0.2,0.0874686717,0.015464823384687482,0.0018745240466287857,17071,32,264,6.827061653137207
0.1729323308,-0.026315789,-0.000250627,0.0004321287743747637,0.0015124507103116728,18513,28,8,7.388629198074341
0.1909774436,0.0385964912,-0.09047619,4.8199739721405505e-05,0.00048199739721405506,20747,10,1,7.8026041984558105
0.0661654135,-0.075438596,-0.083458647,0.0,0.0004720444770796182,19066,9,0,7.406106948852539
-0.272180451,-0.112280702,-0.041353383,0.009834749448049776,0.001070448919515622,14947,16,147,6.52619194984436
-0.079699248,0.1938596491,0.0318295739,0.023167936566933035,0.007123830762559623,16143,115,374,6.810978889465332
-0.22556391,-0.131578947,0.0854636591,0.011830033800096573,0.0014485755673587638,16568,24,196,6.648556232452393
-0.279699248,0.150877193,0.0934837093,0.00525384044315002,0.0012563531494489179,17511,22,92,6.975301265716553
0.0105263158,-0.011403509,-0.089974937,0.013581904565172486,0.010896508985746747,19364,211,263,7.461204767227173
-0.187969925,-0.069298246,-0.019298246,0.06341005166744951,0.008161108501643964,17032,139,1080,7.305488586425781
0.1368421053,-0.073684211,-0.045864662,4.8225308641975306e-05,0.00048225308641975306,20736,10,1,7.753561019897461
-0.290225564,-0.071929825,-0.002255639,0.04064639486831555,0.0011718990933201753,16213,19,659,6.7726891040802
-0.360902256,0.0254385965,0.0704260652,0.002509134128626139,0.0006602984549016155,22717,15,57,8.431151866912842
-0.264661654,0.1701754386,0.0147869674,0.05961550124325308,0.0015768087816119838,16489,26,983,6.986901760101318
0.1082706767,-0.033333333,0.0353383459,0.007756531106921627,0.006733099919202801,18565,125,144,7.205829381942749
-0.347368421,0.0877192982,0.0799498747,0.0017394329448599756,0.0008117353742679886,17247,14,30,6.862768888473511
-0.126315789,0.1815789474,0.0072681704,0.053068943779013125,0.006017536821594361,17449,105,926,7.0626139640808105
-0.030075188,0.1570175439,0.0789473684,0.02918410041841004,0.010669456066945606,19120,204,558,7.4018940925598145
0.1458646617,0.1798245614,0.0619047619,0.0,0.000328893274132544,18243,6,0,7.0943450927734375
-1.38778e-17,-0.061403509,-0.086466165,0.008547476850583529,0.010793929099775355,18251,197,156,7.548353433609009
