Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.04755333,0.0658851119,0.0765179908,-0.3,0.007648494711147274,0.005695687550854353,12290,94,70,6.686019659042358
-0.07185276,0.0329573578,-0.014867015,-0.13,0.0822007413329457,0.00334326622574315,13759,1131,46,6.992213010787964
-0.200831506,-0.038975883,-0.024986206,-0.3,0.023569768728560363,0.0014385304857806795,9037,213,13,6.8087477684021
-0.168758234,-0.048437265,-0.056662883,-0.18,0.07897968823807275,0.008597071327350023,10585,836,91,6.8664870262146
-0.218945204,0.1617587133,0.0331004399,-0.18,0.057866906115933356,0.0004988526389304599,10023,580,5,6.896393537521362
-0.075149283,0.1793329726,-0.067253265,-0.3,0.0,0.0004914004914004914,8140,0,4,6.798502206802368
0.0315757703,0.1411161072,-0.001502877,-0.13,0.050187504986834754,0.010372616292986516,12533,629,130,6.958956480026245
-0.075105354,0.191808352,0.0663442745,-0.1,0.03356833840730652,0.005287614164396731,12482,419,66,6.733381032943726
-0.101191363,-0.058320504,-0.032865812,-0.13,0.05701903467029232,0.002804214819850442,11768,671,33,6.733517408370972
-0.205983852,0.1959211204,-0.003830523,-0.1,0.05220547180346175,0.0010236367020286618,10746,561,11,6.8610498905181885
-0.270413134,0.0426174168,-0.072520078,-0.3,0.0440402106270943,0.0008377213977979895,8356,368,7,6.8238685131073
0.0332015021,0.0556421416,0.0342003559,-0.13,0.09304375701234172,0.012582144574451034,12478,1161,157,6.904291868209839
0.0292495673,-0.06994823,-0.054690606,-0.3,0.0,0.00044357700496806243,11272,0,5,6.786487579345703
0.0438776203,0.0541846328,-0.045761181,-0.1,0.027019002375296912,0.005047505938242281,13472,364,68,6.734442710876465
-0.118035948,0.0233982027,-0.028325767,-0.3,0.06255400034560221,0.009936063590806982,11574,724,115,6.869946718215942
-0.180357673,-0.041747605,0.0049978655,-0.1,0.023419601187950785,0.0021213406873143827,11785,276,25,6.762776136398315
-0.065424217,0.1518067219,-0.016893849,-0.24,0.02102921848144778,0.005156202608431908,9891,208,51,6.802647829055786
-0.114516727,-0.084053072,0.0670410279,-0.13,0.07072300157715614,0.007885780692288536,12047,852,95,6.927661180496216
-0.094856683,0.0789303853,0.0362128943,-0.18,0.13107219272525555,0.015373642919407243,12619,1654,194,6.9477832317352295
-0.103953294,0.0848440647,0.0675456,-0.13,0.0935913472150688,0.016187182694430136,13591,1272,220,6.913598537445068
-0.070876804,-0.055269823,0.0232057953,-0.24,0.051623787431463515,0.013665120202446226,11855,612,162,6.843126535415649
-0.31379507,0.0298119055,-0.003151102,-0.18,0.06801007556675064,0.0005687819939871618,12307,837,7,6.916985034942627
0.0220106897,-0.000896029,-0.040575187,-0.1,0.018273745034308415,0.0038280967858432646,13845,253,53,6.743614196777344
-0.030511082,0.1045733532,-0.020775252,-0.13,0.10530111792282726,0.012261089073205915,13865,1460,170,6.901683568954468
-0.24190704,-0.006248686,0.0638134117,-0.1,0.005047923322683706,0.0023003194888178914,15650,79,36,6.954759359359741
-0.340082642,0.1749256205,0.0439839863,-0.13,0.001049501486793773,0.0006996676578625153,11434,12,8,6.9978766441345215
-0.201344253,-0.099006009,0.0435023129,-0.1,0.019621707618879266,0.001679335336750928,11314,222,19,6.802373886108398
-0.288346786,0.1244897186,-0.032170479,-0.24,0.023312287518212724,0.0006070908207867897,8236,192,5,6.796016693115234
0.0363461222,-0.0370935,0.0738681588,-0.18,0.03571708925347358,0.010047884449328833,12739,455,128,6.814010143280029
-0.330833336,0.1573728201,0.017327573,-0.13,0.03792872838444636,0.0004776917932549919,10467,397,5,6.855235815048218
-0.210542875,-0.051234649,0.0249736456,-0.18,0.10308334181337132,0.001119365014755266,9827,1013,11,6.838479995727539
-0.002408329,0.0482511264,-0.074152605,-0.13,0.034135325284461046,0.006340658386172153,11513,393,73,6.80784797668457
