RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
2,36,0.1313953488372093,0.0015856236786469344,9460,1243,15,5.106276035308838,11.175
2,29,0.14312736443883986,0.002101723413198823,9516,1362,20,5.2396228313446045,11.178
3,51,0.16726694915254237,0.0014830508474576272,9440,1579,14,5.156009197235107,11.626
3,23,0.1764384161015095,0.002734631371691096,9142,1613,25,5.171234846115112,11.62
3,31,0.1454604620891637,0.00292873413602343,9219,1341,27,5.112072467803955,11.622
3,109,0.16967470009726576,0.0023776072625094563,9253,1570,22,5.180933237075806,11.618
3,102,0.1077502691065662,0.005059203444564047,9290,1001,47,5.20438814163208,11.622
3,12,0.17388507718696397,0.0013936535162950257,9328,1622,13,5.25545597076416,11.62
4,49,0.1958638800744064,0.002407265565160302,9139,1790,22,5.159164905548096,11.987
2,52,0.1398148148148148,0.0023662551440329217,9720,1359,23,5.185143709182739,11.166
4,55,0.17817468961010674,0.0023959921585711176,9182,1636,22,5.14728307723999,11.989
2,96,0.10095440084835632,0.002545068928950159,9430,952,24,5.1941540241241455,11.173
4,36,0.17372881355932204,0.001895628902765388,8968,1558,17,5.196722745895386,11.991
3,59,0.166555998229305,0.0027667109340416113,9036,1505,25,5.13991117477417,11.614
3,85,0.1713362068965517,0.0023706896551724138,9280,1590,22,5.095860004425049,11.622
3,4,0.18208596988871917,0.002291075714597425,9166,1669,21,5.204228639602661,11.622
2,42,0.15366506153023007,0.0019261637239165329,9345,1436,18,5.214882135391235,11.178
2,90,0.1387429051923481,0.0016817321841496743,9514,1320,16,5.159274101257324,11.178
4,41,0.19617806252071138,0.00187783055340771,9053,1776,17,5.236647605895996,11.991
3,87,0.17342688007016005,0.001644376233282175,9122,1582,15,5.1376683712005615,11.614
3,17,0.17512024486226496,0.0018583296895496283,9148,1602,17,5.2189836502075195,11.618
2,27,0.15073068893528183,0.0028183716075156576,9580,1444,27,5.181542634963989,11.178
4,113,0.19137466307277629,0.0019092542677448339,8904,1704,17,5.120368957519531,11.995
3,22,0.18020613986478998,0.0019949019173223985,9023,1626,18,5.227040767669678,11.617
4,7,0.19836355594869526,0.0025431225121627598,9044,1794,23,5.259418725967407,11.987
4,60,0.19478527607361965,0.001971954425942156,9128,1778,18,5.214069843292236,11.979
2,5,0.1426929907030189,0.001462446464013371,9573,1366,14,5.137213706970215,11.168
2,1,0.14758650149508756,0.0019222554463904314,9364,1382,18,5.110654830932617,11.177
4,83,0.17819590481460984,0.0028776978417266188,9035,1610,26,5.214914321899414,11.995
4,68,0.12504197917832754,0.007724168812269115,8933,1117,69,5.116044759750366,11.978
4,88,0.17746416268474274,0.008445382820313369,8999,1597,76,5.389970779418945,11.979
2,101,0.15050912176495546,0.0019092066185829445,9428,1419,18,5.14788556098938,11.173
3,107,0.16719938278408464,0.00209412542709137,9073,1517,19,5.148119211196899,11.618
4,104,0.10932370321733421,0.016414970453053186,9138,999,150,5.080626487731934,11.988
3,94,0.17367911331109437,0.0021521575379317764,9293,1614,20,5.183612585067749,11.618
3,52,0.17415424779723704,0.0019580115305123462,9193,1601,18,5.201715469360352,11.618
2,99,0.13889177669196381,0.0032227882316249092,9619,1336,31,5.195315361022949,11.175
3,96,0.17132034632034632,0.0015151515151515152,9240,1583,14,5.216494798660278,11.622
2,62,0.13279445727482678,0.0032542515221499054,9526,1265,31,5.2440056800842285,11.174
2,48,0.14615059221658205,0.0024323181049069375,9456,1382,23,5.212669372558594,11.182
2,33,0.11057892544773011,0.003956684714702207,9604,1062,38,5.192691802978516,11.183
3,81,0.14091718610863757,0.003450578806767587,8984,1266,31,5.166285276412964,11.629
4,81,0.19000445235975066,0.0030053428317008014,8984,1707,27,5.2151148319244385,11.983
2,28,0.1471709780480264,0.0024734618159332165,9703,1428,24,5.2603349685668945,11.174
4,43,0.19230332614371665,0.0017028039505051652,8809,1694,15,5.185882329940796,11.991
3,111,0.15601483836777955,0.00201377848436672,9435,1472,19,5.220565319061279,11.616
4,21,0.1952486187845304,0.0013259668508287293,9050,1767,12,5.295930624008179,11.983
3,43,0.17464788732394365,0.0015167930660888408,9230,1612,14,5.256915807723999,11.618
4,82,0.1884216275259421,0.0028399781540141998,9155,1725,26,5.147833585739136,11.989
3,19,0.17457754816489077,0.0026907760198041117,9291,1622,25,5.392401218414307,11.613
2,63,0.13815997470755612,0.0016861629254926757,9489,1311,16,5.120038032531738,11.178
3,16,0.17272134000435066,0.0021753317380900587,9194,1588,20,5.242311477661133,11.625
3,9,0.17870152131990572,0.0017141632740518534,9334,1668,16,5.280503511428833,11.622
2,9,0.15252621544327932,0.0015888147442008262,9441,1440,15,5.141537666320801,11.177
2,65,0.1355609601353495,0.0023263191286877444,9457,1282,22,5.132078409194946,11.183
2,15,0.14361536059943802,0.0017691747320220626,9609,1380,17,5.217188596725464,11.179
3,37,0.15667229729729729,0.001583614864864865,9472,1484,15,5.174108266830444,11.628
2,41,0.14585106382978724,0.0013829787234042553,9400,1371,13,5.146914005279541,11.178
4,110,0.18542974669841958,0.0038969473912102187,9238,1713,36,5.226397275924683,11.992
4,53,0.18900455432661029,0.001951854261548471,9222,1743,18,5.151794910430908,11.983
3,97,0.16413777827001882,0.002325838963340348,9029,1482,21,5.215193271636963,11.612
4,40,0.19149652232443348,0.0025802109041956475,8914,1707,23,5.169572830200195,11.987
4,72,0.14455231930960086,0.004638619201725998,9270,1340,43,5.2145116329193115,11.976
3,117,0.15196564255037992,0.002973240832507433,9081,1380,27,5.182663917541504,11.618
3,88,0.16904916612518953,0.0022742040285899934,9234,1561,21,5.099055051803589,11.617
3,93,0.17467343193349888,0.002482996869264817,9263,1618,23,5.361110210418701,11.618
4,89,0.19091813059330462,0.003314550878355983,9051,1728,30,5.34197735786438,11.983
4,12,0.19410801963993454,0.002073104200763775,9165,1779,19,5.184303283691406,11.98
4,111,0.18668278211185585,0.002197560707614548,9101,1699,20,5.124358654022217,11.978
4,90,0.18657212497230224,0.0013294925769997785,9026,1684,12,5.217216968536377,11.972
4,30,0.17697063369397217,0.0025391918745860014,9058,1603,23,5.201120138168335,11.974
3,82,0.10772732198981251,0.004118348325566273,9227,994,38,5.135532855987549,11.611
3,42,0.17307049782826595,0.0018933066042989197,8979,1554,17,5.14413595199585,11.614
2,44,0.14646951676845602,0.0018214936247723133,9333,1367,17,5.073825359344482,11.172
3,98,0.15131863380890617,0.0017293558149589277,9252,1400,16,5.24236536026001,11.618
3,71,0.15360868639557165,0.001596763891845859,9394,1443,15,5.147454023361206,11.614
4,20,0.19417369400941847,0.0017522724783703865,9131,1773,16,5.156802415847778,11.987
2,106,0.13872046832531884,0.0028224963412084468,9566,1327,27,5.1271071434021,11.169
2,54,0.14045300592718035,0.0026460626587637595,9448,1327,25,5.351758718490601,11.178
2,2,0.14542415378186377,0.0019849561220225656,9572,1392,19,5.186772584915161,11.173
