U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
-0.16,64,0.17235476623515567,0.00481437894511608,9347,1611,45,5.317993640899658,11.986
-0.18,3,0.19191270860077023,0.0024604193410355155,9348,1794,23,5.424649000167847,11.986
-0.16,76,0.16939203354297694,0.00649895178197065,9540,1616,62,5.366605997085571,11.983
-0.14,93,0.1761104091748469,0.0037904558266109436,10289,1812,39,5.556540489196777,11.979
-0.14,70,0.12658959537572254,0.016184971098265895,10380,1314,168,5.357754468917847,11.984
-0.18,1,0.19587737843551797,0.0020084566596194502,9460,1853,19,5.338641881942749,11.986
-0.14,97,0.16800627327974907,0.0034306998627720055,10202,1714,35,5.3472840785980225,11.988
-0.16,24,0.19681575363988688,0.0036660731119723474,9547,1879,35,5.326225280761719,11.982
-0.18,35,0.06581314146651147,0.009734419638133531,9451,622,92,5.337130546569824,11.986
-0.14,98,0.17031126871552404,0.006304176516942475,10152,1729,64,5.417891263961792,11.99
-0.16,77,0.18038176033934253,0.004984093319194061,9430,1701,47,5.350616455078125,11.982
-0.14,69,0.14392229961738448,0.0135387030314922,10193,1467,138,5.4168455600738525,11.987
-0.14,24,0.1761799112545381,0.0052440500201694235,9916,1747,52,5.413111925125122,11.986
-0.14,38,0.1812220566318927,0.003477396920019871,10065,1824,35,5.479495286941528,11.984
-0.16,25,0.19166134864922357,0.005424377791959157,9402,1802,51,5.373842000961304,11.986
-0.16,3,0.19895515890291685,0.002067914671310405,9188,1828,19,5.323852062225342,11.984
-0.14,68,0.15053449951409134,0.011370262390670554,10290,1549,117,5.356547832489014,11.984
-0.18,99,0.1855275741153969,0.0024439485708213794,9411,1746,23,5.263457298278809,11.986
-0.18,102,0.14636752136752137,0.012393162393162393,9360,1370,116,5.273362159729004,11.984
-0.18,48,0.187039764359352,0.001998737639385651,9506,1778,19,5.35689377784729,11.987
-0.16,49,0.19825134309491205,0.002633519435373433,9493,1882,25,5.266310453414917,11.986
-0.16,6,0.19597883597883597,0.0026455026455026454,9450,1852,25,5.421296834945679,11.982
-0.16,27,0.1807164877219092,0.004145848835973211,9407,1700,39,5.320481300354004,11.986
-0.18,57,0.18735518040383978,0.0033101621979476996,9063,1698,30,5.408796072006226,11.983
-0.14,87,0.1644146365519282,0.0075944373212348355,10139,1667,77,5.424925088882446,11.984
-0.18,64,0.1553038553692006,0.005009801786103245,9182,1426,46,5.298039674758911,11.986
-0.16,57,0.20111016225448336,0.0044833475661827495,9368,1884,42,5.449703216552734,11.986
-0.18,65,0.1500592480879026,0.004416675643649682,9283,1393,41,5.271707773208618,11.984
-0.16,53,0.19510610653962754,0.0033564313555651797,9236,1802,31,5.405071973800659,11.982
-0.18,78,0.18245274914089346,0.003329037800687285,9312,1699,31,5.529678583145142,11.982
-0.18,16,0.19349183740550016,0.0021913005368686313,9127,1766,20,5.386826038360596,11.984
-0.18,17,0.19588628042214085,0.0032306698255438293,9286,1819,30,5.36674427986145,11.983
-0.16,62,0.17379251519351743,0.004904574048406014,9379,1630,46,5.345866441726685,11.982
-0.18,14,0.19388405181567211,0.0019112338076024634,9418,1826,18,5.364418268203735,11.98
-0.16,10,0.1972284885594586,0.002578150177247825,9309,1836,24,5.532031059265137,11.984
-0.14,39,0.16761391002793566,0.002504575667084096,10381,1740,26,5.419615030288696,11.982
-0.14,12,0.1722469135802469,0.002765432098765432,10125,1744,28,5.381193399429321,11.98
-0.16,115,0.1813773035887488,0.004310809354456299,9279,1683,40,5.570713520050049,11.984
-0.18,101,0.16237113402061856,0.005584192439862543,9312,1512,52,5.360493421554565,11.984
-0.14,113,0.1591937069813176,0.004523107177974435,10170,1619,46,5.390845060348511,11.984
-0.16,60,0.183905556157262,0.004982129318747969,9233,1698,46,5.314656972885132,11.982
-0.16,114,0.18595174262734585,0.004396782841823057,9325,1734,41,5.417845726013184,11.982
-0.16,104,0.08423442906574395,0.015895328719723184,9248,779,147,5.302316427230835,11.982
