tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-15,80,61,90,0.10231819625277866,0.003556684661797396,15745,1611,56,5.570237636566162,12.23
-5,600,57,610,0.03175895765472313,0.02743673264845903,15964,507,438,10.077864170074463,12.228
-15,250,23,260,0.08007763586275983,0.011081893313298272,15972,1279,177,6.715717554092407,12.228
-5,600,80,610,0.034809348093480935,0.02964329643296433,16260,566,482,10.145117998123169,12.232
-5,600,70,610,0.003443187407771766,0.04746679783571077,16264,56,772,10.100319385528564,12.228
-5,600,52,610,0.031573047702079964,0.022481006351974094,16058,507,361,10.113863706588745,12.237
-10,80,40,90,0.10615817442950923,0.003751172241325414,15995,1698,60,5.813530921936035,12.232
-5,80,18,90,0.1101700312042285,0.0040756543335668345,15703,1730,64,5.747721195220947,12.23
-5,250,68,260,0.027384324834749764,0.03380547686496695,15885,435,537,6.5958216190338135,12.232
-10,80,41,90,0.11050328227571116,0.0030892006693268117,15538,1717,48,5.615745782852173,12.228
-10,80,30,90,0.08651248599855044,0.005600579824734796,15177,1313,85,5.424905776977539,12.225
-15,600,40,610,0.04502131928768498,0.017180837722598444,15948,718,274,10.1291983127594,12.233
-15,80,46,90,0.11255548509828789,0.0036778693722257453,15770,1775,58,5.7618608474731445,12.23
-15,250,48,260,0.08136955087845536,0.00959405168795347,16677,1357,160,6.673386335372925,12.23
-10,250,25,260,0.05905991232342913,0.01686556259132976,16424,970,277,6.747344732284546,12.228
-5,250,39,260,0.07217306993091746,0.00927160344200703,16502,1191,153,6.763821125030518,12.234
-5,250,18,260,0.07466407247522344,0.0102754301696358,16447,1228,169,6.62292218208313,12.233
-10,80,20,90,0.10466308741026724,0.005368884599143391,16577,1735,89,6.008176803588867,12.232
-15,80,32,90,0.10323777604883595,0.004668142916990844,16709,1725,78,6.028542995452881,12.235
-10,80,47,90,0.10616563298066399,0.004195549069682597,16446,1746,69,5.961806774139404,12.23
-15,250,24,260,0.0732987526244288,0.011300481659874028,16194,1187,183,6.646118879318237,12.226
-15,80,68,90,0.09229614807403702,0.009317158579289645,15992,1476,149,5.7386369705200195,12.236
-5,80,33,90,0.09052618727872054,0.007264070321084117,16382,1483,119,5.907507658004761,12.232
-5,250,72,260,0.03400473933649289,0.04188388625592417,16880,574,707,6.63740086555481,12.233
-15,250,47,260,0.07953658682994177,0.008764031454469056,16659,1325,146,6.677779197692871,12.234
-15,80,53,90,0.10766222656727362,0.003971648539655383,16366,1762,65,5.900199890136719,12.23
-15,80,67,90,0.09074321858654665,0.007480841746746138,16442,1492,123,5.879692316055298,12.234
-15,600,62,610,0.03629589567934619,0.017967670212126675,16641,604,299,10.084110498428345,12.234
-5,600,37,610,0.0408235294117647,0.018823529411764704,17000,694,320,10.086102724075317,12.232
-15,250,15,260,0.08364312267657993,0.007974577287444537,16678,1395,133,6.765892028808594,12.234
-10,600,56,610,0.03905971744034192,0.020301555265344887,16846,658,342,10.108219385147095,12.234
-10,600,73,610,0.021080449880154877,0.03847335750722144,16271,343,626,10.068887710571289,12.236
-15,600,32,610,0.040491101878836734,0.017982265765486453,16127,653,290,10.114993810653687,12.234
-15,600,38,610,0.04538699690402477,0.017708978328173374,16150,733,286,10.165748357772827,12.236
-15,250,59,260,0.07695260026866245,0.011386170280816222,15633,1203,178,6.645269870758057,12.232
-10,600,29,610,0.008148195302056146,0.029791839073142784,15709,128,468,10.107916116714478,12.233
-5,80,75,90,0.09702286018075491,0.01814194577352472,15048,1460,273,5.486833572387695,12.232
-5,80,29,90,0.0637267397399949,0.017206219729798623,15692,1000,270,5.503384590148926,12.232
-5,250,49,260,0.06437454279444038,0.01676420385271885,16404,1056,275,6.6107447147369385,12.232
-5,250,37,260,0.0717276533770253,0.010134110079495115,16479,1182,167,6.660772800445557,12.234
