RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
4,130,0.03830411143014234,0.006903292809579083,16369,627,113,7.978286266326904
2,73,0.03637024913620658,0.005758622779899376,16497,600,95,8.01718020439148
4,144,0.043803613798138345,0.007300602299689724,16437,720,120,8.080793857574463
3,81,0.04610746586274162,0.005083643672045871,16917,780,86,8.058239698410034
3,137,0.04256090925578865,0.006166495375128468,16541,704,102,8.020695924758911
0,106,0.0007388252678241596,0.001908631941879079,16242,12,31,8.030304908752441
2,300,0.04298146942158546,0.004262625066603517,16891,726,72,8.058042764663696
2,108,0.034531059683313034,0.006151035322777101,16420,567,101,8.005666494369507
6,67,0.052149487054225695,0.007816316560820713,16376,854,128,8.04597544670105
2,123,0.020421374764595105,0.005120056497175141,16992,347,87,8.062976837158203
2,42,0.03351654916955431,0.005257497908949695,16738,561,88,7.949639558792114
4,69,0.016636774073845013,0.0062465211206629975,16169,269,101,8.009803056716919
6,29,0.03293015008549174,0.008042555886264327,15791,520,127,8.02222728729248
2,117,0.020290732889158086,0.00581465778316172,16510,335,96,8.03976559638977
4,282,0.056620101372233896,0.006428483125231796,16178,916,104,8.060862302780151
0,211,0.0006762572236567073,0.0025820730357801547,16266,11,42,7.992832899093628
4,270,0.05607531975367125,0.006217432496447181,16888,947,105,8.093239545822144
4,267,0.05384849406753879,0.005354426528749619,16435,885,88,8.12000036239624
6,129,0.049587833088376256,0.00696530129720749,15649,776,109,8.058432579040527
6,271,0.06163812455904047,0.0079533063947149,15591,961,124,8.072819709777832
3,219,0.04928806133625411,0.006024096385542169,16434,810,99,8.048391580581665
2,78,0.01991701244813278,0.004327208061647896,16870,336,73,8.039633512496948
6,181,0.0520288159596084,0.008127578351086755,16241,845,132,7.9868693351745605
6,42,0.05195281462013324,0.006967789254935517,16361,850,114,8.029497861862183
3,33,0.041023194800548564,0.005366406296583388,16771,688,90,8.027041673660278
0,44,0.0,0.0017873651771956856,16225,0,29,8.079322099685669
2,57,0.011677033212064312,0.0043422133552399956,17042,199,74,8.016005277633667
2,61,0.00046843892727485657,0.004450169809111137,17078,8,76,7.9986443519592285
2,271,0.03771703425621774,0.006217738151102769,17048,643,106,8.054227352142334
1,4,0.017252820172528202,0.003559148217409664,16577,286,59,7.9961020946502686
1,226,0.01759477598403773,0.003325473124130842,16539,291,55,8.025086402893066
2,158,0.024359207416833305,0.00527176876931467,16503,402,87,8.05700969696045
2,105,0.035480414335039887,0.0050601262055006545,16798,596,85,8.080919027328491
0,141,0.0,0.0021744240714621534,17016,0,37,7.927091360092163
2,299,0.041969466508929076,0.0050701368936961295,17751,745,90,8.022581577301025
0,256,0.0012885088438561556,0.0020499004334075203,17074,22,35,8.007362842559814
4,138,0.04250172771250864,0.006219765031098825,17364,738,108,8.080256700515747
2,37,0.036094291928751986,0.004585268355769796,17011,614,78,8.023951292037964
2,20,0.0427413867755304,0.004639079606606049,16167,691,75,8.025561094284058
1,15,0.018722533261092047,0.003431461080007224,16611,311,57,7.9744954109191895
2,210,0.0425531914893617,0.0048439511925930465,16309,694,79,8.1263427734375
3,188,0.05461245695644294,0.005920376970941823,16553,904,98,8.083518505096436
4,40,0.046887531618236784,0.005737553211178975,16209,760,93,7.991264581680298
6,145,0.048964101287874075,0.006346046164375039,16073,787,102,8.060091257095337
3,199,0.05232212851882646,0.005404442332818625,16838,881,91,8.130617380142212
0,265,0.0009285051067780873,0.002263231197771588,17232,16,39,7.985905170440674
2,32,0.026907585589617363,0.004699037816066234,17876,481,84,8.05064606666565
0,82,0.0004596644449551827,0.0026430705584923006,17404,8,46,7.950244426727295
0,48,5.830563815520961e-05,0.001341029677569821,17151,1,23,8.081118822097778
4,292,0.057696926032660904,0.0064241114313160425,16656,961,107,8.00034499168396
0,280,0.0013086669442626852,0.0020819701385997266,16811,22,35,8.006025552749634
0,26,0.00030024620188554615,0.00234192037470726,16653,5,39,8.013667345046997
1,37,0.017280610048582497,0.004120287805178033,16261,281,67,7.961749792098999
3,103,0.04925429251785938,0.0057651334753728535,15958,786,92,8.038429498672485
4,11,0.054968415937803695,0.006134596695821185,16464,905,101,8.080928325653076
6,224,0.061065422855038666,0.006750951270406285,16294,995,110,8.103678941726685
4,117,0.052105948762483714,0.007195583400533466,16121,840,116,8.072920083999634
1,28,0.008887507768800497,0.0037911746426351773,16090,143,61,7.97871732711792
4,74,0.04239309965131217,0.007707836300238576,16347,693,126,8.027569770812988
2,50,0.040089348695038794,0.004526216788149542,17012,682,77,8.115648031234741
3,264,0.05164012360351795,0.005288804373662943,16828,869,89,8.060527324676514
