group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,candidate_idx,ok,r2,aicc,nfev,hit_max_nfev,ier,is_stage_best,is_segment_selected,init_new_mu,init_mu_norm
0,-0.5,lost,right,6,69,67,1,0.8959315305647367,-1703.9551205802097,5,0,3,0,0,139.0,0.9852941176470589
0,-0.5,lost,right,6,69,68,1,0.895915770467138,-1703.9343749123816,5,0,3,0,0,140.0,1.0
0,-0.5,lost,right,7,69,0,1,0.9488944950295871,-1793.0021386667129,6,0,4,0,0,72.0,0.0
0,-0.5,lost,right,7,69,1,1,0.9488947374587631,-1793.002788555133,6,0,4,0,0,73.0,0.014705882352941176
0,-0.5,lost,right,7,69,2,1,0.954722447374302,-1809.5902134893165,35,0,1,0,0,74.0,0.029411764705882353
0,-0.5,lost,right,7,69,3,1,0.9547224492442462,-1809.59021914736,37,0,1,0,0,75.0,0.04411764705882353
0,-0.5,lost,right,7,69,4,1,0.9547224507053821,-1809.5902235684384,44,0,1,0,0,76.0,0.058823529411764705
0,-0.5,lost,right,7,69,5,1,0.9547224500514078,-1809.5902215896547,26,0,1,0,0,77.0,0.07352941176470588
0,-0.5,lost,right,7,69,6,1,0.9547224510575755,-1809.590224634099,43,0,1,0,0,78.0,0.08823529411764706
0,-0.5,lost,right,7,69,7,1,0.9547224505872078,-1809.5902232108688,51,0,1,0,0,79.0,0.10294117647058823
0,-0.5,lost,right,7,69,8,1,0.954722450776921,-1809.5902237848995,41,0,1,0,0,80.0,0.11764705882352941
0,-0.5,lost,right,7,69,9,1,0.9547224482684058,-1809.5902161946792,31,0,1,0,0,81.0,0.1323529411764706
0,-0.5,lost,right,7,69,10,1,0.9547224502604283,-1809.5902222221055,36,0,1,0,0,82.0,0.14705882352941177
0,-0.5,lost,right,7,69,11,1,0.9547224483545333,-1809.5902164552826,36,0,1,0,0,83.0,0.16176470588235295
0,-0.5,lost,right,7,69,12,1,0.954722450681923,-1809.5902234974562,42,0,1,0,0,84.0,0.17647058823529413
0,-0.5,lost,right,7,69,13,1,0.9547224506369532,-1809.5902233613876,29,0,1,0,0,85.0,0.19117647058823528
0,-0.5,lost,right,7,69,14,1,0.9547224488841248,-1809.5902180577111,25,0,1,0,0,86.0,0.20588235294117646
0,-0.5,lost,right,7,69,15,1,0.954722450012172,-1809.5902214709358,27,0,1,0,0,87.0,0.22058823529411764
0,-0.5,lost,right,7,69,16,1,0.9547224498616349,-1809.5902210154434,16,0,1,0,0,88.0,0.23529411764705882
0,-0.5,lost,right,7,69,17,1,0.9547224507339291,-1809.5902236548159,16,0,1,0,0,89.0,0.25
0,-0.5,lost,right,7,69,18,1,0.9547224501639278,-1809.5902219301158,22,0,1,0,0,90.0,0.2647058823529412
0,-0.5,lost,right,7,69,19,1,0.9547224502682174,-1809.5902222456732,22,0,1,0,0,91.0,0.27941176470588236
0,-0.5,lost,right,7,69,20,1,0.9547224505794254,-1809.590223187321,21,0,1,0,0,92.0,0.29411764705882354
0,-0.5,lost,right,7,69,21,1,0.9547224507926068,-1809.5902238323615,24,0,1,0,0,93.0,0.3088235294117647
0,-0.5,lost,right,7,69,22,1,0.9547224494276257,-1809.5902197022265,24,0,1,0,0,94.0,0.3235294117647059
0,-0.5,lost,right,7,69,23,1,0.9547224508539497,-1809.5902240179717,26,0,1,0,0,95.0,0.3382352941176471
0,-0.5,lost,right,7,69,24,1,0.9547224493230968,-1809.5902193859445,28,0,1,0,0,96.0,0.35294117647058826
0,-0.5,lost,right,7,69,25,1,0.9510167175968807,-1798.8127410824236,26,0,1,0,0,97.0,0.36764705882352944
0,-0.5,lost,right,7,69,26,1,0.9510167178545889,-1798.8127418032009,24,0,2,0,0,98.0,0.38235294117647056
0,-0.5,lost,right,7,69,27,1,0.9510167182056681,-1798.8127427851246,28,0,2,0,0,99.0,0.39705882352941174
